,Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income
117,1,52.5,6.5,1,0,8,7,6.29,1,1,15,0,0,0,11202
330,1,20.42,0.0,1,0,1,7,0.0,0,0,0,0,1,0,0
183,0,57.08,19.5,1,0,1,7,5.5,1,1,7,0,0,0,3000
471,1,21.08,4.125,2,2,6,3,0.04,0,0,0,0,0,15,100
18,1,21.83,0.25,1,0,3,3,0.665,1,0,0,1,0,0,0
57,1,44.33,0.5,1,0,6,3,5.0,1,0,0,1,0,86,0
72,0,38.58,5.0,1,0,2,7,13.5,1,0,0,1,0,168,0
576,1,30.17,0.5,1,0,1,7,1.75,1,1,11,0,0,85,540
325,0,29.5,1.085,2,2,13,7,1.0,0,0,0,0,0,74,13
123,0,44.17,6.665,1,0,10,7,7.375,1,1,3,1,0,0,0
13,1,48.08,6.04,1,0,8,7,0.04,0,0,0,0,0,0,2690
542,1,19.67,10.0,2,2,8,3,0.835,1,0,0,1,0,15,0
87,1,25.67,2.21,2,2,0,7,4.0,1,0,0,0,0,37,0
252,0,17.83,11.0,1,0,13,3,1.0,1,1,11,0,0,0,3000
329,1,31.56817109144546,4.0,2,2,6,7,0.085,0,0,0,1,0,114,0
633,1,32.42,2.165,2,2,8,2,0.0,0,0,0,0,0,8,0
436,1,19.58,0.585,1,0,5,2,0.0,0,1,3,0,0,93,769
188,0,28.67,1.04,1,0,1,7,2.5,1,1,5,1,0,80,1430
324,1,33.67,1.25,1,0,12,7,1.165,0,0,0,0,0,8,0
365,1,42.83,1.25,1,0,9,7,13.875,0,1,1,1,0,94,112
635,1,18.17,2.46,1,0,1,5,0.96,0,1,2,1,0,23,587
583,1,32.67,9.0,2,2,12,3,5.25,1,0,0,1,0,21,0
93,1,52.33,1.375,2,2,1,3,9.46,1,0,0,1,0,40,100
561,1,26.75,1.125,1,0,13,3,1.25,1,0,0,0,0,0,5298
199,1,22.58,10.04,1,0,13,7,0.04,1,1,9,0,0,147,396
390,1,15.17,7.0,1,0,4,7,1.0,0,0,0,0,0,148,0
616,1,22.67,0.75,1,0,6,7,1.585,0,1,1,1,0,111,9
361,1,23.08,2.5,1,0,5,2,0.085,0,0,0,1,0,1,4208
161,1,44.0,2.0,1,0,9,7,1.75,1,1,2,1,0,0,15
111,0,24.5,1.04,2,2,5,2,0.5,1,1,3,0,0,34,147
191,1,42.0,0.205,1,0,6,3,5.125,1,0,0,0,0,111,0
62,0,23.42,0.79,2,2,10,7,1.5,1,1,2,1,0,159,400
68,1,19.42,6.5,1,0,12,3,1.46,1,1,7,0,0,159,2954
250,1,40.25,21.5,1,0,4,8,20.0,1,1,11,0,0,0,1200
53,1,34.92,2.5,1,0,12,7,0.0,1,0,0,1,0,59,200
264,1,50.75,0.585,1,0,5,2,0.0,0,0,0,0,0,18,0
169,1,37.5,1.125,2,2,3,7,1.5,0,0,0,1,0,119,0
302,1,23.42,1.0,1,0,1,7,0.5,0,0,0,1,2,74,0
677,1,19.42,7.25,1,0,9,7,0.04,0,1,1,0,0,1,1
203,0,20.75,10.25,1,0,10,7,0.71,1,1,2,1,0,133,0
241,1,48.25,25.085,1,0,12,7,1.75,1,1,3,0,0,8,14
230,1,25.17,3.5,1,0,2,7,0.625,1,1,7,0,0,0,7059
281,1,23.92,0.585,2,2,2,3,0.125,0,0,0,0,0,61,1
328,1,34.83,2.5,2,2,12,7,3.0,0,0,0,0,2,40,0
291,0,18.25,10.0,1,0,12,7,1.0,0,1,1,0,0,8,1
148,0,30.5,6.5,1,0,1,0,4.0,1,1,7,1,0,0,3065
502,0,64.08,0.165,1,0,5,2,0.0,1,1,1,0,0,58,100
322,0,33.67,0.375,1,0,2,7,0.375,0,0,0,0,0,80,44
48,1,41.5,1.54,1,0,6,0,3.5,0,0,0,0,0,49,0
31,1,42.0,9.79,1,0,13,3,7.96,1,1,8,0,0,0,0
113,0,33.75,0.75,1,0,8,0,1.0,1,1,3,1,0,48,0
676,0,30.58,10.665,1,0,10,3,0.085,0,1,12,1,0,11,3
277,0,18.17,10.0,2,2,10,3,0.165,0,0,0,0,0,90,0
168,1,36.67,3.25,1,0,10,3,9.0,1,0,0,1,0,2,639
239,1,38.17,10.125,1,0,13,7,2.5,1,1,6,0,0,141,196
23,0,27.42,14.5,1,0,13,3,3.085,1,1,1,0,0,8,11
619,1,18.42,10.415,2,2,0,7,0.125,1,0,0,0,0,8,375
25,0,15.83,0.585,1,0,1,3,1.5,1,1,2,0,0,1,0
413,1,40.58,1.5,1,0,6,0,0.0,0,0,0,0,2,80,0
498,1,25.75,0.5,1,0,1,7,1.46,1,1,5,1,0,84,0
428,1,49.17,2.29,1,0,5,2,0.29,0,0,0,0,0,40,3
679,0,20.08,1.25,1,0,1,7,0.0,0,0,0,0,0,0,0
638,1,28.58,3.625,1,0,0,7,0.25,0,0,0,1,0,1,0
97,1,31.56817109144546,0.5,1,0,1,0,0.835,1,0,0,1,2,86,0
574,0,20.33,10.0,1,0,1,3,1.0,1,1,4,0,0,135,1465
689,1,35.0,3.375,1,0,1,3,8.29,0,0,0,1,0,0,0
605,0,29.58,1.75,2,2,8,7,1.25,0,0,0,1,0,74,0
287,1,29.5,0.58,1,0,12,7,0.29,0,1,1,0,0,90,2803
550,1,76.75,22.29,1,0,4,8,12.75,1,1,1,1,0,0,109
564,1,42.17,5.04,1,0,10,3,12.75,1,0,0,1,0,163,0
276,0,19.17,5.415,1,0,6,3,0.29,0,0,0,0,0,159,484
334,1,34.75,2.5,1,0,2,0,0.5,0,0,0,0,0,91,0
516,0,60.92,5.0,1,0,0,7,4.0,1,1,4,0,0,0,99
425,1,24.58,1.25,1,0,1,7,0.25,0,0,0,0,0,4,0
598,1,20.08,0.125,1,0,10,7,1.0,0,1,1,0,0,61,768
163,1,32.0,1.75,2,2,4,3,0.04,1,0,0,1,0,106,0
657,0,38.92,1.665,1,0,0,7,0.25,0,0,0,0,0,0,390
375,0,20.83,0.5,2,2,4,1,1.0,0,0,0,0,0,67,0
294,0,16.08,0.335,1,0,5,2,0.0,0,1,1,0,0,23,126
371,1,26.33,13.0,1,0,4,1,0.0,0,0,0,1,0,15,1110
594,1,38.67,0.21,1,0,8,7,0.085,1,0,0,1,0,74,0
213,1,23.08,11.5,1,0,6,7,3.5,1,1,9,0,0,144,742
526,1,41.58,1.75,1,0,8,7,0.21,1,0,0,0,0,23,0
555,1,41.92,0.42,1,0,1,3,0.21,1,1,6,0,0,51,948
593,1,34.17,5.25,1,0,12,7,0.085,0,0,0,1,0,77,6
101,1,35.25,16.5,2,2,1,7,4.0,1,0,0,0,0,159,0
567,0,25.17,2.875,1,0,13,3,0.875,1,0,0,0,0,96,0
26,0,47.0,13.0,1,0,6,0,5.165,1,1,9,1,0,0,0
272,1,18.08,6.75,2,2,9,7,0.04,0,0,0,0,0,15,0
70,1,32.33,7.5,1,0,4,0,1.585,1,0,0,1,2,116,0
298,1,16.33,2.75,1,0,0,7,0.665,0,1,1,0,0,159,21
28,1,57.42,8.5,1,0,4,3,7.0,1,1,3,0,0,0,0
459,1,25.67,0.29,2,2,1,7,1.5,0,0,0,1,0,23,0
448,1,31.25,1.125,1,0,5,2,0.0,0,1,1,0,0,167,19
496,0,25.0,0.875,1,0,13,3,1.04,1,0,0,1,0,23,5860
105,1,54.83,15.5,1,0,4,8,0.0,1,1,20,0,0,20,130
399,1,31.0,2.085,1,0,1,7,0.085,0,0,0,0,0,80,0
219,0,18.92,9.25,2,2,1,7,1.0,1,1,4,1,0,159,500
492,1,39.25,9.5,1,0,9,7,6.5,1,1,14,0,0,61,4607
